"Category","Price Close"
"Jan 08 2020",960.2
"Jan 09 2020",968.5
"Jan 12 2020",965.8
"Jan 13 2020",967
"Jan 14 2020",967.6
"Jan 15 2020",974.3
"Jan 16 2020",979
"Jan 19 2020",978.6
"Jan 20 2020",986.4
"Jan 21 2020",991.5
"Jan 29 2020",959.6
"Jan 30 2020",936.6
"Feb 02 2020",928.1
"Feb 03 2020",929.1
"Feb 04 2020",925.9
"Feb 05 2020",938.5
"Feb 06 2020",940.8
"Feb 09 2020",930.7
"Feb 10 2020",934.7
"Feb 11 2020",937.7
"Feb 12 2020",938.2
"Feb 13 2020",937.5
"Feb 16 2020",934.8
"Feb 17 2020",927.9
"Feb 18 2020",928.8
"Feb 19 2020",938.1
"Feb 20 2020",933.1
"Feb 23 2020",903.3
"Feb 24 2020",909.7
"Feb 25 2020",896
"Feb 26 2020",898.4
"Feb 27 2020",882.2
"Mar 01 2020",884.4
"Mar 02 2020",890.6
"Mar 03 2020",889.4
"Mar 04 2020",893.3
"Mar 05 2020",891.4
"Mar 08 2020",835.5
"Mar 09 2020",837.5
"Mar 10 2020",811.4
"Mar 11 2020",769.3
"Mar 12 2020",761.8
"Mar 15 2020",747.9
"Mar 16 2020",745.8
"Mar 17 2020",747.7
"Mar 18 2020",725.9
"Mar 19 2020",709.7
"Mar 22 2020",666.6
"Mar 23 2020",659.2
"Mar 24 2020",690.3
"Mar 25 2020",694.2
"Mar 26 2020",696.1
"Mar 29 2020",662.3
"Mar 30 2020",662.5
"Mar 31 2020",680.2
"Apr 02 2020",701.8
"Apr 05 2020",736.8
"Apr 06 2020",746.7
"Apr 07 2020",748
"Apr 08 2020",760.3
"Apr 09 2020",757.9
"Apr 12 2020",765.8
"Apr 13 2020",767.4
"Apr 14 2020",777.2
"Apr 15 2020",780.7
"Apr 16 2020",789.6
"Apr 19 2020",795
"Apr 20 2020",766.8
"Apr 21 2020",768.9
"Apr 22 2020",773.9
"Apr 23 2020",776.7
"Apr 26 2020",770.8
"Apr 27 2020",767.2
"Apr 28 2020",769.1
"May 03 2020",762.5
"May 04 2020",764.2
"May 05 2020",782.6
